# layer len k_zeta j jl  bank_j bank_jl conflict  row_j row_jl
0   2 127   0   2  0 1 0    0   1
0   2 127   1   3  1 0 0    0   1
0   2 126   4   6  1 0 0    2   3
0   2 126   5   7  0 1 0    2   3
0   2 125   8  10  1 0 0    4   5
0   2 125   9  11  0 1 0    4   5
0   2 124  12  14  0 1 0    6   7
0   2 124  13  15  1 0 0    6   7
0   2 123  16  18  1 0 0    8   9
0   2 123  17  19  0 1 0    8   9
0   2 122  20  22  0 1 0   10  11
0   2 122  21  23  1 0 0   10  11
0   2 121  24  26  0 1 0   12  13
0   2 121  25  27  1 0 0   12  13
0   2 120  28  30  1 0 0   14  15
0   2 120  29  31  0 1 0   14  15
0   2 119  32  34  1 0 0   16  17
0   2 119  33  35  0 1 0   16  17
0   2 118  36  38  0 1 0   18  19
0   2 118  37  39  1 0 0   18  19
0   2 117  40  42  0 1 0   20  21
0   2 117  41  43  1 0 0   20  21
0   2 116  44  46  1 0 0   22  23
0   2 116  45  47  0 1 0   22  23
0   2 115  48  50  0 1 0   24  25
0   2 115  49  51  1 0 0   24  25
0   2 114  52  54  1 0 0   26  27
0   2 114  53  55  0 1 0   26  27
0   2 113  56  58  1 0 0   28  29
0   2 113  57  59  0 1 0   28  29
0   2 112  60  62  0 1 0   30  31
0   2 112  61  63  1 0 0   30  31
0   2 111  64  66  1 0 0   32  33
0   2 111  65  67  0 1 0   32  33
0   2 110  68  70  0 1 0   34  35
0   2 110  69  71  1 0 0   34  35
0   2 109  72  74  0 1 0   36  37
0   2 109  73  75  1 0 0   36  37
0   2 108  76  78  1 0 0   38  39
0   2 108  77  79  0 1 0   38  39
0   2 107  80  82  0 1 0   40  41
0   2 107  81  83  1 0 0   40  41
0   2 106  84  86  1 0 0   42  43
0   2 106  85  87  0 1 0   42  43
0   2 105  88  90  1 0 0   44  45
0   2 105  89  91  0 1 0   44  45
0   2 104  92  94  0 1 0   46  47
0   2 104  93  95  1 0 0   46  47
0   2 103  96  98  0 1 0   48  49
0   2 103  97  99  1 0 0   48  49
0   2 102 100 102  1 0 0   50  51
0   2 102 101 103  0 1 0   50  51
0   2 101 104 106  1 0 0   52  53
0   2 101 105 107  0 1 0   52  53
0   2 100 108 110  0 1 0   54  55
0   2 100 109 111  1 0 0   54  55
0   2  99 112 114  1 0 0   56  57
0   2  99 113 115  0 1 0   56  57
0   2  98 116 118  0 1 0   58  59
0   2  98 117 119  1 0 0   58  59
0   2  97 120 122  0 1 0   60  61
0   2  97 121 123  1 0 0   60  61
0   2  96 124 126  1 0 0   62  63
0   2  96 125 127  0 1 0   62  63
0   2  95 128 130  1 0 0   64  65
0   2  95 129 131  0 1 0   64  65
0   2  94 132 134  0 1 0   66  67
0   2  94 133 135  1 0 0   66  67
0   2  93 136 138  0 1 0   68  69
0   2  93 137 139  1 0 0   68  69
0   2  92 140 142  1 0 0   70  71
0   2  92 141 143  0 1 0   70  71
0   2  91 144 146  0 1 0   72  73
0   2  91 145 147  1 0 0   72  73
0   2  90 148 150  1 0 0   74  75
0   2  90 149 151  0 1 0   74  75
0   2  89 152 154  1 0 0   76  77
0   2  89 153 155  0 1 0   76  77
0   2  88 156 158  0 1 0   78  79
0   2  88 157 159  1 0 0   78  79
0   2  87 160 162  0 1 0   80  81
0   2  87 161 163  1 0 0   80  81
0   2  86 164 166  1 0 0   82  83
0   2  86 165 167  0 1 0   82  83
0   2  85 168 170  1 0 0   84  85
0   2  85 169 171  0 1 0   84  85
0   2  84 172 174  0 1 0   86  87
0   2  84 173 175  1 0 0   86  87
0   2  83 176 178  1 0 0   88  89
0   2  83 177 179  0 1 0   88  89
0   2  82 180 182  0 1 0   90  91
0   2  82 181 183  1 0 0   90  91
0   2  81 184 186  0 1 0   92  93
0   2  81 185 187  1 0 0   92  93
0   2  80 188 190  1 0 0   94  95
0   2  80 189 191  0 1 0   94  95
0   2  79 192 194  0 1 0   96  97
0   2  79 193 195  1 0 0   96  97
0   2  78 196 198  1 0 0   98  99
0   2  78 197 199  0 1 0   98  99
0   2  77 200 202  1 0 0  100 101
0   2  77 201 203  0 1 0  100 101
0   2  76 204 206  0 1 0  102 103
0   2  76 205 207  1 0 0  102 103
0   2  75 208 210  1 0 0  104 105
0   2  75 209 211  0 1 0  104 105
0   2  74 212 214  0 1 0  106 107
0   2  74 213 215  1 0 0  106 107
0   2  73 216 218  0 1 0  108 109
0   2  73 217 219  1 0 0  108 109
0   2  72 220 222  1 0 0  110 111
0   2  72 221 223  0 1 0  110 111
0   2  71 224 226  1 0 0  112 113
0   2  71 225 227  0 1 0  112 113
0   2  70 228 230  0 1 0  114 115
0   2  70 229 231  1 0 0  114 115
0   2  69 232 234  0 1 0  116 117
0   2  69 233 235  1 0 0  116 117
0   2  68 236 238  1 0 0  118 119
0   2  68 237 239  0 1 0  118 119
0   2  67 240 242  0 1 0  120 121
0   2  67 241 243  1 0 0  120 121
0   2  66 244 246  1 0 0  122 123
0   2  66 245 247  0 1 0  122 123
0   2  65 248 250  1 0 0  124 125
0   2  65 249 251  0 1 0  124 125
0   2  64 252 254  0 1 0  126 127
0   2  64 253 255  1 0 0  126 127
1   4  63   0   4  0 1 0    0   2
1   4  63   1   5  1 0 0    0   2
1   4  63   2   6  1 0 0    1   3
1   4  63   3   7  0 1 0    1   3
1   4  62   8  12  1 0 0    4   6
1   4  62   9  13  0 1 0    4   6
1   4  62  10  14  0 1 0    5   7
1   4  62  11  15  1 0 0    5   7
1   4  61  16  20  1 0 0    8  10
1   4  61  17  21  0 1 0    8  10
1   4  61  18  22  0 1 0    9  11
1   4  61  19  23  1 0 0    9  11
1   4  60  24  28  0 1 0   12  14
1   4  60  25  29  1 0 0   12  14
1   4  60  26  30  1 0 0   13  15
1   4  60  27  31  0 1 0   13  15
1   4  59  32  36  1 0 0   16  18
1   4  59  33  37  0 1 0   16  18
1   4  59  34  38  0 1 0   17  19
1   4  59  35  39  1 0 0   17  19
1   4  58  40  44  0 1 0   20  22
1   4  58  41  45  1 0 0   20  22
1   4  58  42  46  1 0 0   21  23
